Contig name,Number of restriction sites,Contig length,Contig coverage,Hi-C contacts mapped to the same contigs,Contig annotation,Is Viral
k141_3595,18,1595,14.7896,34,kudriavzevii,False
k141_12506,354,34788,98.0528,10264,kluyveri,False
k141_13381,1122,111522,82.307,30568,waltii,False
k141_12509,168,13993,59.7299,2202,paradoxus,False
k141_4461,1461,98541,94.4137,27919,castellii,False
k141_10689,1173,108441,102.287,21406,uvarum,False
k141_12510,115,8680,82.3864,1566,mikatae,False
k141_4463,172,15356,57.8851,2716,paradoxus,False
k141_1842,432,33260,82.9918,6255,mikatae,False
k141_1844,32,2230,14.8106,59,kudriavzevii,False
k141_921,651,62838,78.7534,11762,wickerhamii,False
k141_924,15,1443,12.8237,115,Rhinovirus,True
k141_925,51,1792,257.618,825,Unmapped,False
k141_4465,98,9453,64.6456,1367,paradoxus,False
k141_8069,517,38420,75.9574,7203,mikatae,False
k141_12519,48,1133,280.28,1159,mikatae,False
k141_8073,149,7221,55.821,14773,pastoris,False
k141_12523,106,4609,2926.62,197468,cerevisiae,False
k141_8074,55,6965,379.583,3632,cerevisiae,False
k141_6282,667,50025,78.4234,11842,mikatae,False
k141_12525,99,8086,58.3454,1333,paradoxus,False
k141_929,41,4086,88.6997,1150,mikatae,False
k141_1846,48,10112,127.779,2875,kluyveri,False
k141_1847,4,1269,485.874,89,uvarum,False
k141_10690,257,23138,89.2124,7326,mikatae,False
k141_1848,10,2600,122.228,1220,kluyveri,False
k141_1850,20,1721,72.6041,162,uvarum,False
k141_1852,145,11326,52.0846,2625,paradoxus,False
k141_8080,78,9125,382.829,9886,cerevisiae,False
k141_3596,811,61124,192.991,26897,cerevisiae,False
k141_8082,46,4455,68.6613,652,paradoxus,False
k141_8086,74,6368,61.671,1694,paradoxus,False
k141_8087,80,3518,644.184,11376,cerevisiae,False
k141_3598,266,18045,98.0899,4600,castellii,False
k141_13384,1638,129430,75.3746,37732,lactis,False
k141_1854,130,12048,87.7899,2246,paradoxus,False
k141_13385,21,1342,90.9857,252,kluyveri,False
k141_13387,19,1330,103.229,177,kluyveri,False
k141_13388,12,1053,10.0975,28,kudriavzevii,False
k141_13389,111,12134,104.291,6136,Enterovirus,True
k141_11589,1039,107816,82.8528,31004,Rhinovirus,True
k141_3599,44,3490,57.0814,566,paradoxus,False
k141_12526,614,49874,111.09,12708,Enterovirus,True
k141_12527,83,6431,59.631,1235,paradoxus,False
k141_3601,281,24108,75.3619,4489,uvarum,False
k141_13390,362,30284,60.5628,4927,paradoxus,False
k141_4466,739,68384,303.146,59951,cerevisiae,False
k141_10691,549,38610,285.625,24324,cerevisiae,False
k141_938,795,64795,174.924,28088,cerevisiae,False
k141_943,55,4634,24.8296,175,kudriavzevii,False
k141_13391,237,22911,75.9312,4433,uvarum,False
k141_6283,884,76496,88.1715,18352,Influenzavirus,True
k141_13397,34,3491,56.3113,503,Rhinovirus,True
k141_12531,22,3237,89.8695,629,uvarum,False
k141_1855,563,37281,108.713,13369,castellii,False
k141_3605,125,11447,72.3054,2366,mikatae,False
k141_12533,105,8479,55.563,1261,paradoxus,False
k141_1859,102,7648,81.4172,1621,mikatae,False
k141_8088,654,55544,76.8418,15224,lactis,False
k141_12534,220,17858,83.2787,3690,mikatae,False
k141_6293,22,2444,56.6988,328,Herpesvirus,True
k141_944,202,16769,165.312,7076,kluyveri,False
k141_947,134,8937,120.962,1442,paradoxus,False
k141_4480,434,34084,81.3433,9357,Influenzavirus,True
k141_948,73,6384,103.798,1399,mikatae,False
k141_3606,353,30679,105.231,11655,kluyveri,False
k141_12535,256,23485,169.056,9595,Coronavirus,True
k141_953,69,12123,124.79,3838,kluyveri,False
k141_6296,353,29280,85.7413,5231,stipitis,False
k141_11592,987,67069,101.882,14025,castellii,False
k141_4483,145,11284,94.8999,3533,castellii,False
k141_11593,2,1067,12.265,37,kudriavzevii,False
k141_11594,21,2060,12.0131,30,kudriavzevii,False
k141_6297,90,9103,61.185,1660,paradoxus,False
k141_4485,100,8622,52.7531,1769,paradoxus,False
k141_11604,16,1011,11.6643,3,kudriavzevii,False
k141_4487,40,3851,891.874,3359,stipitis,False
k141_4491,15,1419,12.7155,17,kudriavzevii,False
k141_3610,321,28783,99.616,11279,kluyveri,False
k141_3612,152,12882,55.7881,1866,paradoxus,False
k141_11607,66,5137,422.536,3352,cerevisiae,False
k141_4497,14,1213,11.5889,12,kudriavzevii,False
k141_12539,196,23753,49.8851,403,gossypii,False
k141_13400,1780,142400,73.9976,40656,lactis,False
k141_954,235,18806,58.0468,2971,paradoxus,False
k141_12540,36,2160,54.3512,305,paradoxus,False
k141_13401,24,2344,47.1541,958,paradoxus,False
k141_955,15,1927,11.9347,96,kudriavzevii,False
k141_4498,65,5876,60.8765,727,paradoxus,False
k141_66,1655,143368,90.4947,30986,stipitis,False
k141_957,17,1302,12.5035,14,kudriavzevii,False
k141_68,52,4201,359.266,2806,Enterovirus,True
k141_70,15,1310,211.439,544,cerevisiae,False
k141_13405,82,6453,52.841,999,paradoxus,False
k141_6301,268,26214,255.879,16310,cerevisiae,False
k141_11611,183,17949,70.9285,3270,uvarum,False
k141_3614,28,2907,411.628,1098,cerevisiae,False
k141_958,194,18725,99.3176,4907,kluyveri,False
k141_3617,69,5767,48.6863,730,paradoxus,False
k141_8913,1892,198716,83.0023,58020,waltii,False
k141_5377,4088,272512,94.8077,65628,castellii,False
k141_1861,1033,86392,82.3123,19577,mikatae,False
k141_1862,11,1130,13.7847,45,Herpesvirus,True
k141_4499,551,42688,229.841,21773,cerevisiae,False
k141_1863,15,1526,318.044,185,cerevisiae,False
k141_1864,15,1524,236.828,389,cerevisiae,False
k141_4500,17,1791,14.4065,32,kudriavzevii,False
k141_5384,2,1096,188.921,129,paradoxus,False
k141_4503,17,1315,19.394,19,Rhinovirus,True
k141_5393,8,1010,53.2756,1033,Influenzavirus,True
k141_5395,11,1353,14.9643,156,kudriavzevii,False
k141_71,117,10195,60.3631,1272,paradoxus,False
k141_6303,116,11207,58.6323,1990,paradoxus,False
k141_13408,716,45502,91.3068,13553,castellii,False
k141_8914,8,1527,11.0399,19,kudriavzevii,False
k141_8915,12,1549,15.2323,22,kudriavzevii,False
k141_13409,34,3811,106.62,3113,kluyveri,False
k141_959,218,19043,96.727,5226,paradoxus,False
k141_13410,39,4488,108.526,737,stipitis,False
k141_8916,94,6921,87.1252,921,uvarum,False
k141_13411,19,2214,13.2485,28,kudriavzevii,False
k141_10693,847,65941,79.0888,13036,mikatae,False
k141_5400,10,1206,1279.96,651,stipitis,False
k141_10694,9,1213,12.8194,11,kudriavzevii,False
k141_10695,14,2018,100.772,193,uvarum,False
k141_10698,66,2900,1198.19,61678,wickerhamii,False
k141_12543,317,24500,315.104,15900,cerevisiae,False
k141_74,35,3569,256.346,2144,Rhinovirus,True
k141_12544,31,2390,81.5304,268,paradoxus,False
k141_13413,232,17607,86.7148,2242,stipitis,False
k141_2696,2890,263327,74.64,51669,wickerhamii,False
k141_13414,40,1968,420.336,646,stipitis,False
k141_3621,342,27572,75.0276,4717,uvarum,False
k141_13415,37,4608,67.6889,1282,paradoxus,False
k141_8089,1390,111781,75.4644,30782,lactis,False
k141_13416,90,9113,85.4744,1224,uvarum,False
k141_9807,4029,353345,86.6161,85463,stipitis,False
k141_5402,306,21987,92.0419,4444,castellii,False
k141_4504,711,65016,106.548,25478,kluyveri,False
k141_13418,108,7914,52.7897,1006,paradoxus,False
k141_8924,55,4281,201.192,2637,cerevisiae,False
k141_8925,11,1192,275.698,475,kluyveri,False
k141_11612,468,48605,91.5138,20488,waltii,False
k141_8932,7,1085,10.6952,18,kudriavzevii,False
k141_960,199,16007,81.7675,3746,mikatae,False
k141_4506,129,9044,46.7368,1308,Influenzavirus,True
k141_11614,60,4684,45.5653,964,paradoxus,False
k141_11615,25,5247,141.632,2051,kluyveri,False
k141_4508,125,9675,65.5887,1263,paradoxus,False
k141_1865,428,31339,82.8044,7504,stipitis,False
k141_13419,44,3708,54.6501,755,paradoxus,False
k141_1866,15,1217,14.1987,14,kudriavzevii,False
k141_2702,501,44782,88.4106,12297,mikatae,False
k141_1867,63,2194,1012.62,4441,cerevisiae,False
k141_3628,111,10540,52.7812,2203,paradoxus,False
k141_3630,10,1036,87.4334,68,mikatae,False
k141_9811,25,2290,77.2075,444,uvarum,False
k141_4510,89,7679,89.8086,1131,mikatae,False
k141_3631,11,1240,257.264,142,Coronavirus,True
k141_3632,5,1423,150.561,119,cerevisiae,False
k141_4512,42,4504,109.661,587,uvarum,False
k141_5403,59,11159,232.27,8191,kluyveri,False
k141_4514,43,3170,47.5897,783,paradoxus,False
k141_4515,10,1182,14.5795,37,Influenzavirus,True
k141_5408,34,4545,54.7795,50,gossypii,False
k141_4520,61,4171,58.0868,635,paradoxus,False
k141_4521,26,2306,59.2092,866,paradoxus,False
k141_2704,252,23510,103.625,8844,kluyveri,False
k141_77,338,32410,103.151,14481,kluyveri,False
k141_11617,31,5325,240.529,1896,waltii,False
k141_2706,29,3314,107.379,766,kluyveri,False
k141_4526,92,3449,1526.3,13757,cerevisiae,False
k141_13422,277,23986,81.3867,5284,mikatae,False
k141_13429,8,1782,198.737,358,uvarum,False
k141_9819,113,10098,96.4965,2240,mikatae,False
k141_5413,12,1047,163.696,367,cerevisiae,False
k141_7159,3531,302985,83.4249,68122,stipitis,False
k141_9822,52,4275,96.3852,1726,kluyveri,False
k141_2708,314,23752,56.4686,3699,paradoxus,False
k141_969,72,16603,127.758,6190,kluyveri,False
k141_8091,611,46285,301.366,43370,cerevisiae,False
k141_10699,774,65019,250.293,44622,cerevisiae,False
k141_10700,53,1961,1386.92,19788,Unmapped,False
k141_1870,252,25787,87.4136,8405,waltii,False
k141_12550,725,52627,261.769,68520,uvarum,False
k141_9824,92,7844,88.1379,1092,Enterovirus,True
k141_7161,132,9306,275.651,5395,cerevisiae,False
k141_13432,272,15759,95.4882,3684,castellii,False
k141_7165,9,1301,85.3762,658,uvarum,False
k141_9828,14,1261,259.095,3809,cerevisiae,False
k141_11618,455,37644,56.4931,6346,paradoxus,False
k141_7173,14,1194,11.8113,25,kudriavzevii,False
k141_7174,23,1190,816.545,4249,cerevisiae,False
k141_11619,91,8158,287.711,5719,cerevisiae,False
k141_83,607,50444,286.574,40361,cerevisiae,False
k141_5415,205,20441,86.8303,4419,stipitis,False
k141_10703,222,19687,59.8003,3433,paradoxus,False
k141_1871,264,17460,92.9049,5468,castellii,False
k141_7175,164,11865,272.696,7745,cerevisiae,False
k141_7176,54,1958,870.746,11088,cerevisiae,False
k141_13435,218,21051,103.546,8346,kluyveri,False
k141_86,46,4057,91.9846,582,mikatae,False
k141_13436,16,1316,158.224,390,cerevisiae,False
k141_13437,33,3060,67.0168,341,paradoxus,False
k141_1873,40,2970,76.1181,394,paradoxus,False
k141_1875,56,4282,105.952,3199,Enterovirus,True
k141_3638,1018,79647,79.0756,19269,mikatae,False
k141_3642,4,1001,123.736,46,kudriavzevii,False
k141_9831,464,31236,270.818,18858,cerevisiae,False
k141_970,529,46361,150.508,24486,cerevisiae,False
k141_3650,14,1123,12.3176,37,kudriavzevii,False
k141_11621,572,51100,85.1366,13188,mikatae,False
k141_7177,633,42126,93.2195,15935,castellii,False
k141_11622,8,1451,17.7487,1355,Coronavirus,True
k141_2714,1960,156825,81.4716,31871,mikatae,False
k141_2717,115,10447,83.1734,1419,uvarum,False
k141_3653,156,13392,71.9986,2125,wickerhamii,False
k141_2718,31,1878,9.71701,30,kudriavzevii,False
k141_6305,1197,101450,89.0953,20092,stipitis,False
k141_6306,46,4052,142.333,1607,stipitis,False
k141_10705,687,57149,301.695,32961,cerevisiae,False
k141_10706,14,1034,10.9344,18,kudriavzevii,False
k141_1877,223,21737,87.4669,3984,Enterovirus,True
k141_10713,39,4740,86.4068,640,uvarum,False
k141_10714,24,1516,60.6947,200,paradoxus,False
k141_7178,174,13393,80.3711,2497,mikatae,False
k141_9837,252,23043,102.178,10887,kluyveri,False
k141_9838,17,1438,90.7446,252,uvarum,False
k141_2722,562,43611,76.9915,6540,Enterovirus,True
k141_7179,274,23144,217.313,10697,cerevisiae,False
k141_7180,11,1156,830.717,558,Influenzavirus,True
k141_88,1108,77637,94.504,19968,castellii,False
k141_3654,140,26633,131.358,9540,kluyveri,False
k141_3656,11,1334,196.421,758,cerevisiae,False
k141_3657,16,3647,127.747,1080,Herpesvirus,True
k141_3658,59,5146,52.8323,676,paradoxus,False
k141_1881,228,21994,148.125,12278,paradoxus,False
k141_971,484,41048,79.9082,8644,mikatae,False
k141_93,15,2909,130.376,830,Rhinovirus,True
k141_7184,69,6575,63.6893,1803,paradoxus,False
k141_2723,332,50569,48.2432,1197,gossypii,False
k141_96,218,18635,57.7441,4399,paradoxus,False
k141_12551,855,80228,99.3389,29723,kluyveri,False
k141_3659,189,18034,319.984,12786,cerevisiae,False
k141_12553,54,2036,2928.08,68951,waltii,False
k141_3660,33,3326,164.001,516,cerevisiae,False
k141_10715,435,34762,270.031,21551,cerevisiae,False
k141_10716,24,1775,102.16,321,uvarum,False
k141_3667,7,1494,47907.9,148535,cerevisiae,False
k141_8093,1316,139402,86.9365,39044,waltii,False
k141_8096,78,5786,89.1597,1675,castellii,False
k141_8098,25,2067,82.9259,403,Herpesvirus,True
k141_6312,412,36858,80.0552,5471,uvarum,False
k141_6315,43,2615,56.1655,357,paradoxus,False
k141_97,77,6665,105.126,2115,kluyveri,False
k141_3670,90,7892,55.024,1160,paradoxus,False
k141_99,88,9761,100.588,2750,kluyveri,False
k141_4530,2542,348851,48.1163,6723,gossypii,False
k141_100,27,1925,377.575,291,stipitis,False
k141_12554,150,12005,86.2259,2305,stipitis,False
k141_101,47,4198,63.3817,664,paradoxus,False
k141_12555,58,5628,70.1937,1069,paradoxus,False
k141_102,18,2676,120.218,687,kluyveri,False
k141_104,56,4729,250.814,3830,cerevisiae,False
k141_8103,67,5788,105.162,1976,kluyveri,False
k141_4534,129,13092,80.3008,2404,mikatae,False
k141_4536,24,3574,166.289,176,gossypii,False
k141_10720,314,25400,212.34,15880,cerevisiae,False
k141_10721,21,2081,52.6696,190,paradoxus,False
k141_10722,23,2563,13.1836,24,kudriavzevii,False
k141_10723,31,3016,57.4421,415,paradoxus,False
k141_1887,268,27853,100.044,11450,kluyveri,False
k141_1888,33,2087,74.731,413,mikatae,False
k141_1889,22,1172,88.2955,342,mikatae,False
k141_2725,1181,99255,84.521,18310,uvarum,False
k141_3671,387,26181,54.5216,4056,paradoxus,False
k141_12567,62,4825,72.1568,2376,lactis,False
k141_12568,27,1829,11.1483,53,Influenzavirus,True
k141_9842,697,55437,288.304,47106,cerevisiae,False
k141_6318,354,24642,91.8497,8044,castellii,False
k141_6319,43,2439,58.5924,448,Influenzavirus,True
k141_6320,84,5394,61.1783,995,lactis,False
k141_1890,280,21488,147.414,6658,paradoxus,False
k141_9846,134,11102,118.106,2782,Influenzavirus,True
k141_10724,493,40883,87.5282,7714,Coronavirus,True
k141_2727,676,56311,269.313,35607,cerevisiae,False
k141_105,389,30726,261.705,23813,cerevisiae,False
k141_3672,337,27982,305.162,15906,cerevisiae,False
k141_3674,21,2451,14.8779,72,kudriavzevii,False
k141_4543,941,89055,96.5338,35183,kluyveri,False
k141_4544,17,2882,115.877,536,kluyveri,False
k141_106,128,11750,59.6654,3630,paradoxus,False
k141_3675,107,9811,78.6466,1507,uvarum,False
k141_5417,1585,127544,73.4159,38749,lactis,False
k141_5418,83,7394,65.9572,1264,paradoxus,False
k141_2728,9,1445,12.2301,27,kudriavzevii,False
k141_10726,83,6618,60.1243,1188,paradoxus,False
k141_8106,820,63014,69.3105,17277,Enterovirus,True
k141_5422,8,1098,16.9167,13,Rhinovirus,True
k141_4556,61,3490,42.1249,54,gossypii,False
k141_8107,111,8519,59.7314,845,paradoxus,False
k141_8112,18,1606,54.2974,223,paradoxus,False
k141_10731,51,5017,341.367,2270,cerevisiae,False
k141_6325,293,26997,79.2497,5321,Rhinovirus,True
k141_4559,176,14595,82.1734,4313,mikatae,False
k141_10734,177,15462,78.4628,3414,mikatae,False
k141_3676,361,28936,294.618,23606,cerevisiae,False
k141_3677,83,5921,141.759,1244,cerevisiae,False
k141_112,412,36397,311.11,26319,cerevisiae,False
k141_113,34,2690,11.1098,54,Herpesvirus,True
k141_8114,234,21321,75.5406,5902,waltii,False
k141_9848,577,55220,100.901,19121,kluyveri,False
k141_8115,37,3100,58.4258,401,paradoxus,False
k141_7189,1798,139924,82.2567,29861,Influenzavirus,True
k141_3678,17,1540,9.45755,34,kudriavzevii,False
k141_3680,14,2106,90.657,292,mikatae,False
k141_3684,9,1153,24.1306,52,kudriavzevii,False
k141_11623,2179,190987,93.9673,41025,Coronavirus,True
k141_11625,47,3086,57.439,451,paradoxus,False
k141_13438,2979,232859,74.5764,65674,lactis,False
k141_3694,113,11527,88.3993,3516,paradoxus,False
k141_3695,3,1053,13.3367,14,kudriavzevii,False
k141_13441,33,1350,791.119,1537,cerevisiae,False
k141_2733,637,52076,78.4497,12207,mikatae,False
k141_7191,95,7219,368.335,5564,cerevisiae,False
k141_2735,47,5855,60.101,1288,paradoxus,False
k141_7195,24,1140,443.443,2533,Unmapped,False
k141_2738,162,14172,88.8084,2182,mikatae,False
k141_9853,383,34244,79.1909,4626,uvarum,False
k141_1899,559,77979,48.7495,1460,gossypii,False
k141_1900,17,2231,90.1836,1258,kluyveri,False
k141_9854,17,1431,11.1202,14,kudriavzevii,False
k141_7199,262,24321,75.4812,3290,uvarum,False
k141_119,523,51439,87.4471,15664,waltii,False
k141_121,11,2848,118.223,614,kluyveri,False
k141_7203,81,8216,99.7153,5516,kluyveri,False
k141_122,22,1767,10.4842,76,kudriavzevii,False
k141_7206,16,1181,14.5005,16,kudriavzevii,False
k141_123,14,2135,123.339,863,kluyveri,False
k141_11627,667,43881,94.9802,10331,castellii,False
