Bin,Contig,Restriction sites,Length,Coverage,Self Contact,Type,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
MAG_102,"contig_11191, contig_1197, contig_1517, contig_16498, contig_1654, contig_19342, contig_28380, contig_37215, contig_3953, contig_4181, contig_4186, contig_4194, contig_45272, contig_54613, contig_55142, contig_55160, contig_58205, contig_6285, contig_6354",23519,2574957,11546,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_RUG806,s_Unspecified RUG806
MAG_1021,"contig_15813, contig_50955, contig_8900",27661,1766273,13100,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1022,"contig_29733, contig_37447, contig_37448",1626,181904,2864,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1023,"contig_1369, contig_2049, contig_37224",17388,3056420,30608,0,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_HGM04593,s_Unspecified HGM04593
MAG_1024,"contig_33970, contig_35332, contig_42286",1815,214799,9599,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1025,"contig_13578, contig_1386, contig_59909",18053,3116272,232856,0,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_HGM04593,s_Unspecified HGM04593
MAG_1026,contig_54521,31791,3011110,57892,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Peptostreptococcales,f_Anaerovoracaceae,g_RGIG446,s_RGIG446 sp017621195
MAG_1027,contig_32895,361,90042,736,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1028,"contig_31123, contig_37519, contig_44055",889,276900,80854,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1029,contig_54496,15400,1986281,35208,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_103,"contig_11007, contig_14753, contig_16445, contig_18597, contig_21942, contig_2331, contig_25409, contig_33030, contig_33185, contig_33989, contig_38176, contig_46508, contig_49960, contig_50405, contig_51254, contig_54118, contig_5469, contig_5953, contig_7399",7791,2153572,4600,0,chromosome,d_Bacteria,k_Bacteria,p_Verrucomicrobiota,c_Verrucomicrobiae,o_Verrucomicrobiales,f_Akkermansiaceae,g_Akkermansia,s_Akkermansia sp015061985
MAG_1030,"contig_45593, contig_51027, contig_60566",3672,288571,8855,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1031,"contig_50817, contig_55943, contig_55944",2179,261643,1337,0,chromosome,d_Bacteria,k_Bacteria,p_Desulfobacterota_I,c_Desulfovibrionia,o_Desulfovibrionales,f_Desulfovibrionaceae,g_Desulfovibrio,s_Unspecified Desulfovibrio
MAG_1032,"contig_11080, contig_18920, contig_52202",13664,2465215,30843,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1033,"contig_10693, contig_5363, contig_55002",27800,1645273,1318,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_TANB77,f_CAG-508,g_HGM13634,s_Unspecified HGM13634
MAG_1034,"contig_15097, contig_23800, contig_55480",1798,265494,670,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1035,"contig_25357, contig_39711, contig_57459",31799,1792399,929,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1036,"contig_16353, contig_31665",1482,200109,243,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_UBA1242,g_Onthoplasma,s_Unspecified Onthoplasma
MAG_1037,"contig_25570, contig_52783, contig_5985",15405,2270194,44271,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_CAG-83,s_Unspecified CAG-83
MAG_1038,"contig_19922, contig_57090, contig_8955",1973,246629,397,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1039,"contig_29100, contig_51511, contig_52649",1935,238126,157,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_104,"contig_17683, contig_19770, contig_2051, contig_3718, contig_42383, contig_46930, contig_50221, contig_50321, contig_51184, contig_53093, contig_54624, contig_55492, contig_57812, contig_59732, contig_60120, contig_60369, contig_60974, contig_6262, contig_6623",18857,2136911,3155,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_Unspecified Christensenellales,g_Unspecified Christensenellales,s_Unspecified Christensenellales
MAG_1040,"contig_57469, contig_9700",22495,1189123,22510,0,chromosome,d_Bacteria,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rickettsiales,f_UBA1997,g_Unspecified UBA1997,s_Unspecified UBA1997
MAG_1041,"contig_36523, contig_5038",14141,2050610,7500,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1042,"contig_11536, contig_181",1714,258683,236410,0,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Rikenellaceae,g_Alistipes,s_Unspecified Alistipes
MAG_1043,"contig_12735, contig_5833",11331,2319298,28049,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1044,"contig_18350, contig_5954",14034,2106945,97688,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_CAG-83,s_Unspecified CAG-83
MAG_1045,"contig_22162, contig_29984",1398,164185,22,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1046,"contig_12090, contig_3607",1060,171366,311,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1047,"contig_32465, contig_946",1281,190214,131207,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1049,"contig_19457, contig_9726",1796,243403,1330,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_CAG-138,g_UBA1685,s_UBA1685 sp017435905
MAG_105,"contig_10252, contig_10909, contig_15295, contig_27119, contig_30338, contig_31362, contig_31363, contig_37820, contig_42309, contig_42418, contig_42843, contig_45961, contig_46227, contig_47513, contig_51798, contig_58381, contig_58959, contig_9509, contig_9577",29148,2983713,4978,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Avoscillospira,s_Unspecified Avoscillospira
MAG_1050,"contig_10683, contig_40488",1696,159494,70,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1051,"contig_53307, contig_53696",1763,163219,99,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1052,"contig_12256, contig_12886",11902,1407205,320,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_CAG-448,s_Unspecified CAG-448
MAG_1053,"contig_52939, contig_54145",1172,160106,792,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1054,"contig_10589, contig_961",2212,271685,100,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1055,"contig_10855, contig_25670",2224,161394,68,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1056,"contig_5042, contig_9554",1583,159769,1135,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1057,"contig_11117, contig_56009",20222,2470631,8674,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_UMGS1532,s_Unspecified UMGS1532
MAG_1058,"contig_12597, contig_17451",11394,1607481,10426,0,chromosome,d_Bacteria,k_Bacteria,p_Planctomycetota,c_Planctomycetia,o_Pirellulales,f_Thermoguttaceae,g_RUG369,s_RUG369 sp017466305
MAG_1059,"contig_14994, contig_60383",1732,190926,83,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_106,"contig_16563, contig_16611, contig_20624, contig_21875, contig_29349, contig_32389, contig_33421, contig_34642, contig_39901, contig_41536, contig_41553, contig_42273, contig_42696, contig_43863, contig_46441, contig_49084, contig_53543, contig_53919, contig_54128",6273,965192,3559,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1060,"contig_12200, contig_15653",2811,329880,96,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1061,"contig_15924, contig_59509",796,159698,88,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1062,"contig_16225, contig_32916",4418,247097,128,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1063,"contig_17537, contig_6625",23563,2746536,13386,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_RGIG3159,s_Unspecified RGIG3159
MAG_1064,"contig_17573, contig_51997",1294,156452,102,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1065,"contig_17802, contig_44732",2524,195266,115,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_Borkfalkiaceae,g_Scatosoma,s_Unspecified Scatosoma
MAG_1066,"contig_21604, contig_29057",2769,395392,1823,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1067,"contig_18116, contig_2163",2270,341219,1845,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1069,"contig_22133, contig_6538",7582,658456,1626,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Unspecified Faecousia
MAG_107,"contig_12045, contig_12047, contig_12048, contig_12593, contig_14105, contig_15386, contig_17257, contig_17800, contig_25082, contig_26332, contig_29246, contig_30368, contig_36577, contig_42607, contig_4285, contig_55567, contig_56668, contig_57010, contig_59422",21667,3007542,14885,0,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Muribaculaceae,g_Paramuribaculum,s_Paramuribaculum sp900551515
MAG_1070,"contig_22470, contig_22501",2862,402521,2434,0,chromosome,d_Bacteria,k_Bacteria,p_Planctomycetota,c_Planctomycetia,o_Pirellulales,f_Thermoguttaceae,g_RUG369,s_RUG369 sp017435375
MAG_1071,"contig_27866, contig_8347",947,173354,277,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1072,"contig_24281, contig_54777",7097,359019,114,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1073,"contig_25857, contig_50731",2680,203953,136,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1074,"contig_26437, contig_31233",2493,278481,1455,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_CAG-138,g_UBA1685,s_UBA1685 sp017435905
MAG_1075,"contig_27325, contig_58540",853,161192,25,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1076,"contig_28140, contig_49264",4359,610081,1058,0,chromosome,d_Bacteria,k_Bacteria,p_Planctomycetota,c_Planctomycetia,o_Pirellulales,f_Thermoguttaceae,g_RUG369,s_RUG369 sp017937485
MAG_1077,"contig_293, contig_41980",1199,210315,86639,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-382,g_UBA1206,s_Unspecified UBA1206
MAG_1078,"contig_29673, contig_51208",1504,229608,1089,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1079,"contig_29732, contig_58897",1402,179173,38723,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_108,"contig_12869, contig_12873, contig_16367, contig_2473, contig_25596, contig_25597, contig_2790, contig_32959, contig_35320, contig_37684, contig_41305, contig_41327, contig_42532, contig_48120, contig_51989, contig_55100, contig_6000, contig_6360, contig_8370",40094,4393743,142630,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_CAG-74,g_Faecivicinus,s_Unspecified Faecivicinus
MAG_1080,"contig_28141, contig_30447",2608,372116,521,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1081,"contig_33511, contig_46152",1967,356312,427,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1082,"contig_34071, contig_59462",2286,176598,156,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1083,"contig_2065, contig_3569",17897,2020094,11043,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Unspecified Oscillospiraceae,s_Unspecified Oscillospiraceae
MAG_1084,"contig_40180, contig_59884",1453,178935,797,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1085,"contig_4154, contig_54878",4439,229547,201,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1086,"contig_3264, contig_42568",1319,237428,278,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1087,"contig_17000, contig_42973",3664,225844,23,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1088,"contig_1566, contig_44132",5984,1690867,2854,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1089,"contig_24972, contig_45260",14024,2539711,182610,0,chromosome,d_Unspecified ,k_Unspecified ,p_Unspecified ,c_Unspecified ,o_Unspecified ,f_Unspecified ,g_Unspecified ,s_Unspecified 
MAG_109,"contig_11285, contig_12632, contig_12637, contig_1507, contig_23073, contig_24566, contig_24567, contig_26055, contig_31186, contig_32474, contig_32478, contig_32480, contig_32482, contig_46069, contig_58575, contig_7851, contig_8218, contig_8296, contig_8298",29790,3526642,8441,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_RUG11130,s_Unspecified RUG11130
MAG_1090,"contig_45625, contig_55234",1422,248700,433,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1091,"contig_34444, contig_56996",37855,3286021,8735,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_UBA1390,g_Unspecified UBA1390,s_Unspecified UBA1390
MAG_1092,"contig_49861, contig_57881",2098,252890,209,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_UMGS1840,f_HGM11507,g_Unspecified HGM11507,s_Unspecified HGM11507
MAG_1093,"contig_17468, contig_49974",1026,194077,269,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1094,"contig_18096, contig_50279",6461,913374,4776,0,chromosome,d_Bacteria,k_Bacteria,p_Planctomycetota,c_Planctomycetia,o_Pirellulales,f_Thermoguttaceae,g_RUG369,s_RUG369 sp017937485
MAG_1095,"contig_21579, contig_51379",1287,191657,44,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1096,"contig_51940, contig_54160",1298,205677,185,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1097,"contig_52125, contig_60305",2587,245675,121,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1098,"contig_29768, contig_52153",3424,209058,92,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1099,"contig_52463, contig_53644",1699,250872,523,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_11,"contig_13966, contig_16309, contig_18679, contig_19355, contig_24524, contig_25137, contig_25581, contig_2872, contig_31111, contig_32633, contig_33582, contig_33963, contig_38987, contig_39286, contig_43538, contig_47553, contig_4865, contig_4867, contig_48992, contig_49535, contig_50024, contig_52863, contig_53821, contig_5429, contig_54716, contig_57288, contig_57431, contig_58374, contig_59092, contig_59907",24162,2881555,4780,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_CAG-74,g_RGIG4709,s_Unspecified RGIG4709
MAG_110,"contig_10289, contig_27667, contig_30807, contig_31895, contig_32349, contig_35201, contig_35206, contig_35360, contig_40745, contig_54226, contig_54932, contig_54934, contig_55678, contig_55888, contig_56438, contig_57514, contig_59099, contig_59914, contig_60194",31142,3826748,20944,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_RUG11130,s_Unspecified RUG11130
MAG_1100,"contig_52968, contig_61042",1532,151409,85,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1101,"contig_46997, contig_53684",1694,162431,233,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteB,c_Dehalobacteriia,o_UBA4068,f_UBA5755,g_Unspecified UBA5755,s_Unspecified UBA5755
MAG_1102,"contig_53792, contig_59716",2211,213731,198,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1103,"contig_54171, contig_54172",21574,2576458,70463,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_Avispirillum,s_Unspecified Avispirillum
MAG_1104,"contig_45715, contig_54458",4344,254950,82,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1105,"contig_32433, contig_56013",2230,170232,65,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1106,"contig_15767, contig_5677",1888,193403,77,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1107,"contig_52912, contig_57913",1552,165524,180,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
