Contig,Restriction sites,Length,Coverage,Self Contact,Bin,Type,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
contig_10163,290,40860,96,0,MAG_1797,chromosome,d_Bacteria,k_Bacteria,p_Elusimicrobiota,c_Elusimicrobia,o_Elusimicrobiales,f_Elusimicrobiaceae,g_UBA1174,s_UBA1174 sp900556855
contig_10169,1225,135375,57,0,MAG_1797,chromosome,d_Bacteria,k_Bacteria,p_Elusimicrobiota,c_Elusimicrobia,o_Elusimicrobiales,f_Elusimicrobiaceae,g_UBA1174,s_UBA1174 sp900556855
contig_10170,2669,360362,2238,0,MAG_1798,chromosome,d_Bacteria,k_Bacteria,p_Elusimicrobiota,c_Elusimicrobia,o_Elusimicrobiales,f_Elusimicrobiaceae,g_UBA1174,s_Unspecified UBA1174
contig_10175,588,59792,42,0,MAG_1798,chromosome,d_Bacteria,k_Bacteria,p_Elusimicrobiota,c_Elusimicrobia,o_Elusimicrobiales,f_Elusimicrobiaceae,g_UBA1174,s_Unspecified UBA1174
contig_10193,327,35834,119,0,MAG_9,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Unspecified Faecousia
contig_10195,876,112112,158,0,MAG_276,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_CAG-74,g_RGIG2066,s_Unspecified RGIG2066
contig_10203,2992,228747,54,0,MAG_1279,chromosome,d_Bacteria,k_Bacteria,p_Verrucomicrobiota,c_Lentisphaeria,o_Victivallales,f_UBA1829,g_SIG77,s_Unspecified SIG77
contig_10212,1196,155709,470,0,MAG_161,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Anaerotignaceae,g_HGM11808,s_Unspecified HGM11808
contig_10217,2619,155315,70,0,MAG_1773,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_TANB77,f_CAG-508,g_CAG-452,s_Unspecified CAG-452
contig_10219,3554,193613,193,0,MAG_264,chromosome,d_Bacteria,k_Bacteria,p_Firmicutes,c_Bacilli,o_RF39,f_UBA660,g_UMGS1613,s_Unspecified UMGS1613
contig_10229,705,72615,70,0,MAG_8,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_Unspecified CAG-272,s_Unspecified CAG-272
contig_10234,12895,1663701,4559,0,MAG_304,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_CAG-74,g_Unspecified CAG-74,s_Unspecified CAG-74
contig_10235,2055,295458,651,0,MAG_1327,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_UBA932,g_Cryptobacteroides,s_Unspecified Cryptobacteroides
contig_10248,407,33884,205,0,MAG_118,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_Blautia_A,s_Unspecified Blautia_A
contig_10249,3705,484309,735,0,MAG_693,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_Borkfalkiaceae,g_Scatosoma,s_Unspecified Scatosoma
contig_10251,924,99007,211,0,MAG_30,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_Bariatricus,s_Unspecified Bariatricus
contig_10252,124,14687,37,0,MAG_105,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Avoscillospira,s_Unspecified Avoscillospira
contig_10257_v,494,47596,491,0,contig_10257_v,phage,d_Virus_v,k_Unspecified _v,p_Virus_v,c_Virus_v,o_Caudoviralev_v,f_Myoviridae_v,g_Unspecified Myoviridae_v,s_Unspecified Myoviridae_v
contig_10263,267,61125,88,0,MAG_28,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Ruminococcaceae,g_Unspecified Ruminococcaceae,s_Unspecified Ruminococcaceae
contig_10264,3667,328168,287,0,MAG_561,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_QALR01,s_Unspecified QALR01
contig_10268,257,24208,25,0,MAG_53,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_Unspecified Lachnospiraceae,s_Unspecified Lachnospiraceae
contig_10269,913,114739,411,0,MAG_10,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Alloscillospira,s_Unspecified Alloscillospira
contig_10274,503,55067,31,0,MAG_781,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_RGIG3013,s_Unspecified RGIG3013
contig_10275,10589,1053158,3443,0,MAG_781,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_RGIG3013,s_Unspecified RGIG3013
contig_10277,11641,1415045,12795,0,MAG_399,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_SIG332,s_Unspecified SIG332
contig_10285,819,88978,211,0,MAG_8,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_Unspecified CAG-272,s_Unspecified CAG-272
contig_10289,4089,522434,3469,0,MAG_110,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_RUG11130,s_Unspecified RUG11130
contig_10292,2633,353611,176,0,MAG_847,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Unspecified Oscillospiraceae,s_Unspecified Oscillospiraceae
contig_10293,326,47980,51,0,MAG_191,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_UBA941,g_Unspecified UBA941,s_Unspecified UBA941
contig_10299,1063,91130,953,0,MAG_14,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Marinifilaceae,g_Butyricimonas,s_Butyricimonas virosa
contig_10300,1166,81455,263,0,MAG_14,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Marinifilaceae,g_Butyricimonas,s_Butyricimonas virosa
contig_10319,4534,523012,4795,0,MAG_339,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_SIG603,s_SIG603 sp017935165
contig_10323,3517,571041,354,0,MAG_1870,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_CAG-917,g_RGIG4097,s_RGIG4097 sp017461985
contig_10330,610,77586,116,0,MAG_160,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Butyricicoccaceae,g_Unspecified Butyricicoccaceae,s_Unspecified Butyricicoccaceae
contig_10334,233,31960,17,0,MAG_619,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_RGIG3159,s_Unspecified RGIG3159
contig_10335,1096,152896,309,0,MAG_428,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_RGIG3159,s_Unspecified RGIG3159
contig_10350,4080,350775,771,0,MAG_204,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_RuminococcuG,s_Unspecified RuminococcuG
contig_10359,13031,2472564,9131,0,MAG_1550,chromosome,d_Bacteria,k_Bacteria,p_Desulfobacterota_I,c_Desulfovibrionia,o_Desulfovibrionales,f_Desulfovibrionaceae,g_Mailhella,s_Unspecified Mailhella
contig_10365,2579,369698,876,0,MAG_1485,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Ruminococcaceae,g_Ruminococcus,s_Ruminococcus sp015066935
contig_10389,2628,233027,323,0,MAG_1557,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis
contig_10390,202,27671,53,0,MAG_158,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Butyricicoccaceae,g_JAAZBA01,s_Unspecified JAAZBA01
contig_10394,17560,2058514,7060,0,MAG_1499,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_SIG672,s_Unspecified SIG672
contig_10402,682,74619,108,0,MAG_439,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_UBA1750,g_Spyradocola,s_Unspecified Spyradocola
contig_10403,5688,795077,1288,0,MAG_479,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Phocaeicola,s_Phocaeicola sp015060705
contig_10419,6937,1037707,770,0,MAG_1211,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Rikenellaceae,g_Tidjanibacter,s_Tidjanibacter sp017935385
contig_10433,10283,1072568,1166,0,MAG_628,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Unspecified Faecousia
contig_10446,501,69852,49,0,MAG_1665,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_CAG-83,s_Unspecified CAG-83
contig_10464,282,33600,51,0,MAG_336,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Unspecified Faecousia
contig_10470,536,64616,174,0,MAG_1685,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_UBA1242,g_UBA5489,s_UBA5489 sp017408305
contig_10471,755,93778,109,0,MAG_71,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_SIG483,s_Unspecified SIG483
contig_10481,1272,107612,956,0,MAG_246,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Peptostreptococcales,f_Anaerovoracaceae,g_Copromorpha,s_Unspecified Copromorpha
contig_10483,3213,332998,611,0,MAG_27,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Ruminococcaceae,g_UBA3818,s_UBA3818 sp002369315
contig_105,6917,741782,3463,0,MAG_288,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_RUG806,s_Unspecified RUG806
contig_10512,24241,2091755,2275,0,MAG_1315,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteB,c_Dehalobacteriia,o_UBA7702,f_UBA7702,g_UBA7702,s_Unspecified UBA7702
contig_10514,63,3857,3,0,MAG_296,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_TANB77,f_CAG-508,g_CAG-269,s_Unspecified CAG-269
contig_10515,6003,318178,1041,0,MAG_296,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_TANB77,f_CAG-508,g_CAG-269,s_Unspecified CAG-269
contig_10526,1216,164720,26,0,MAG_766,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_CAG-448,s_Unspecified CAG-448
contig_10531,548,60492,46,0,MAG_116,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_Clostridium_A,s_Unspecified Clostridium_A
contig_10541,1665,206761,45,0,MAG_188,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_SIG640,s_SIG640 sp015064885
contig_10552,450,60445,11,0,MAG_1009,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Ruminococcaceae,g_UMGS1668,s_Unspecified UMGS1668
contig_10555,239,33505,11,0,MAG_766,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_CAG-448,s_Unspecified CAG-448
contig_10561,113,13534,2,0,MAG_766,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_CAG-448,s_Unspecified CAG-448
contig_10573,51471,3408848,10967,0,MAG_1677,chromosome,d_Bacteria,k_Bacteria,p_Verrucomicrobiota,c_Lentisphaeria,o_Victivallales,f_UBA1829,g_SIG77,s_Unspecified SIG77
contig_10580,18943,3639850,24574,0,MAG_1196,chromosome,d_Bacteria,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Muribaculaceae,g_Muribaculum,s_Muribaculum sp003150235
contig_1059,961,149787,604,0,MAG_1390,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_An92,s_Unspecified An92
contig_10595,3285,492935,3011,0,MAG_1646,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_NSJ-51,s_NSJ-51 sp900549795
contig_10597,379,39974,77,0,MAG_43,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Faecousia sp017936205
contig_1060,1549,97935,341,0,MAG_170,chromosome,d_Bacteria,k_Bacteria,p_Firmicutes,c_Bacilli,o_DSM-16016,f_Caldibacillaceae,g_RUG14133,s_RUG14133 sp902796085
contig_10607,172,50302,37,0,MAG_1820,chromosome,d_Bacteria,k_Bacteria,p_Verrucomicrobiota,c_Verrucomicrobiae,o_Verrucomicrobiales,f_Akkermansiaceae,g_Akkermansia,s_Akkermansia sp015061985
contig_10618,1708,202146,1668,0,MAG_743,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Pelethomonas,s_Unspecified Pelethomonas
contig_10624,323,27148,47,0,MAG_53,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_Unspecified Lachnospiraceae,s_Unspecified Lachnospiraceae
contig_10627,14181,943256,583,0,MAG_1502,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_UBA1242,g_RGIG1681,s_Unspecified RGIG1681
contig_1064,383,53948,56,0,MAG_217,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Dysosmobacter,s_Unspecified Dysosmobacter
contig_10652,448,58538,73,0,MAG_157,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Dysosmobacter,s_Unspecified Dysosmobacter
contig_10655,548,81645,140,0,MAG_97,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Dysosmobacter,s_Unspecified Dysosmobacter
contig_1066_v,904,116907,1293,0,contig_1066_v,phage,d_Virus_v,k_Unspecified _v,p_Virus_v,c_Virus_v,o_Caudoviralev_v,f_Siphoviridae_v,g_Unspecified Siphoviridae_v,s_Unspecified Siphoviridae_v
contig_10662,1452,159980,269,0,MAG_316,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Unspecified Faecousia
contig_10677,341,35582,96,0,MAG_6,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Unspecified Faecousia
contig_10679,767,74623,129,0,MAG_43,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Faecousia sp017936205
contig_10681,169,15692,2,0,MAG_1871,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Avoscillospira,s_Unspecified Avoscillospira
contig_10690,1681,87355,52,0,MAG_1773,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_TANB77,f_CAG-508,g_CAG-452,s_Unspecified CAG-452
contig_10692,2637,162388,104,0,MAG_1773,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_TANB77,f_CAG-508,g_CAG-452,s_Unspecified CAG-452
contig_10693,23968,1425409,1203,0,MAG_1033,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_TANB77,f_CAG-508,g_HGM13634,s_Unspecified HGM13634
contig_10696,5349,548078,488,0,MAG_400,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_UBA1381,f_UBA1381,g_RGIG9115,s_Unspecified RGIG9115
contig_10701,2533,245549,1309,0,MAG_1596,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_Unspecified Acutalibacteraceae,s_Unspecified Acutalibacteraceae
contig_10708,931,126957,133,0,MAG_1723,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Dysosmobacter,s_Unspecified Dysosmobacter
contig_10717,294,37424,114,0,MAG_26,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_CAG-74,g_Faecivicinus,s_Unspecified Faecivicinus
contig_10719,1042,169075,197,0,MAG_238,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Ruminococcaceae,g_RGIG4131,s_RGIG4131 sp017536405
contig_10735_v,2364,171895,236,0,contig_10735_v,phage,d_Virus_v,k_Unspecified _v,p_Virus_v,c_Virus_v,o_Caudoviralev_v,f_Myoviridae_v,g_Unspecified Myoviridae_v,s_Unspecified Myoviridae_v
contig_10736,15717,1342247,4873,0,MAG_44,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_Blautia_A,s_Unspecified Blautia_A
contig_10740,542,60135,27,0,MAG_117,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_UBA1081,s_Unspecified UBA1081
contig_10741,406,36663,119,0,MAG_53,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_Unspecified Lachnospiraceae,s_Unspecified Lachnospiraceae
contig_10742,736,91514,307,0,MAG_130,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Butyricicoccaceae,g_UBA4644,s_Unspecified UBA4644
contig_10745,4760,591200,12670,0,MAG_139,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_CAG-74,g_UBA11524,s_Unspecified UBA11524
contig_10771_v,52,5715,8,0,contig_10771_v,phage,d_Virus_v,k_Unspecified _v,p_Virus_v,c_Virus_v,o_Unspecified _v,f_Phycodnaviridae_v,g_Unspecified Phycodnaviridae_v,s_Unspecified Phycodnaviridae_v
contig_10797,213,46461,165,0,MAG_172,chromosome,d_Bacteria,k_Bacteria,p_Verrucomicrobiota,c_Verrucomicrobiae,o_Verrucomicrobiales,f_Akkermansiaceae,g_Akkermansia,s_Unspecified Akkermansia
contig_10801,2201,450308,5332,0,MAG_892,chromosome,d_Bacteria,k_Bacteria,p_Desulfobacterota_I,c_Desulfovibrionia,o_Desulfovibrionales,f_Desulfovibrionaceae,g_Desulfovibrio,s_Desulfovibrio sp900556755
contig_10807,3220,334584,1376,0,MAG_149,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Faecousia sp015068135
contig_10822,554,59907,71,0,MAG_65,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Unspecified Faecousia
contig_10826,3143,236993,48,0,MAG_350,chromosome,d_Bacteria,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_RF32,f_UBA3637,g_RGIG4140,s_RGIG4140 sp017467335
contig_10828,2340,333145,1642,0,MAG_1797,chromosome,d_Bacteria,k_Bacteria,p_Elusimicrobiota,c_Elusimicrobia,o_Elusimicrobiales,f_Elusimicrobiaceae,g_UBA1174,s_UBA1174 sp900556855
contig_10833,7523,745655,706,0,MAG_615,chromosome,d_Bacteria,k_Bacteria,p_Verrucomicrobiota,c_Lentisphaeria,o_Victivallales,f_UBA1829,g_UBA11452,s_UBA11452 sp003526375
contig_10834,7923,780385,720,0,MAG_1392,chromosome,d_Bacteria,k_Bacteria,p_Verrucomicrobiota,c_Lentisphaeria,o_Victivallales,f_UBA1829,g_UBA11452,s_UBA11452 sp003526375
