Bin index,Kingdom,Phylum,Class,Order,Family,Genus,Species,Customized annotation
MAG_1040,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,UBA1997,,,
MAG_1041,,,,,,,,
MAG_1042,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,,
MAG_1043,,,,,,,,
MAG_1044,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83,,
MAG_1045,,,,,,,,
MAG_1046,,,,,,,,
MAG_1047,,,,,,,,
MAG_1049,Bacteria,FirmicuteA,Clostridia,Christensenellales,CAG-138,UBA1685,UBA1685 sp017435905,
MAG_105,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,,
MAG_1050,,,,,,,,
MAG_1051,,,,,,,,
MAG_1052,Bacteria,FirmicuteA,Clostridia,Oscillospirales,CAG-272,CAG-448,,
MAG_1053,,,,,,,,
MAG_1054,,,,,,,,
MAG_1055,,,,,,,,
MAG_1056,,,,,,,,
MAG_1057,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS1532,,
MAG_1058,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,RUG369 sp017466305,
MAG_1059,,,,,,,,
MAG_106,,,,,,,,
MAG_1060,,,,,,,,
MAG_1061,,,,,,,,
MAG_1062,,,,,,,,
MAG_1063,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,RGIG3159,,
MAG_1064,,,,,,,,
MAG_1065,Bacteria,FirmicuteA,Clostridia,Christensenellales,Borkfalkiaceae,Scatosoma,,
MAG_1066,,,,,,,,
MAG_1067,,,,,,,,
MAG_1069,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_107,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Paramuribaculum sp900551515,
MAG_1070,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,RUG369 sp017435375,
MAG_1071,,,,,,,,
MAG_1072,,,,,,,,
MAG_1073,,,,,,,,
MAG_1074,Bacteria,FirmicuteA,Clostridia,Christensenellales,CAG-138,UBA1685,UBA1685 sp017435905,
MAG_1075,,,,,,,,
MAG_1076,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,RUG369 sp017937485,
MAG_1077,Bacteria,FirmicuteA,Clostridia,Oscillospirales,CAG-382,UBA1206,,
MAG_1078,,,,,,,,
MAG_1079,,,,,,,,
MAG_108,Bacteria,FirmicuteA,Clostridia,Christensenellales,CAG-74,Faecivicinus,,
MAG_1080,,,,,,,,
MAG_1081,,,,,,,,
MAG_1082,,,,,,,,
MAG_1083,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,,,
MAG_1084,,,,,,,,
MAG_1085,,,,,,,,
MAG_1086,,,,,,,,
MAG_1087,,,,,,,,
MAG_1088,,,,,,,,
MAG_1089,,,,,,,,
MAG_109,Bacteria,FirmicuteA,Clostridia,Oscillospirales,CAG-272,RUG11130,,
MAG_1090,,,,,,,,
MAG_1091,Bacteria,FirmicuteA,Clostridia,Lachnospirales,UBA1390,,,
MAG_1092,Bacteria,FirmicuteA,Clostridia,UMGS1840,HGM11507,,,
MAG_1093,,,,,,,,
MAG_1094,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,RUG369 sp017937485,
MAG_1095,,,,,,,,
MAG_1096,,,,,,,,
MAG_1097,,,,,,,,
MAG_1098,,,,,,,,
MAG_1099,,,,,,,,
MAG_11,Bacteria,FirmicuteA,Clostridia,Christensenellales,CAG-74,RGIG4709,,
MAG_110,Bacteria,FirmicuteA,Clostridia,Oscillospirales,CAG-272,RUG11130,,
MAG_1100,,,,,,,,
MAG_1101,Bacteria,FirmicuteB,Dehalobacteriia,UBA4068,UBA5755,,,
MAG_1102,,,,,,,,
MAG_1103,Bacteria,FirmicuteA,Clostridia,Oscillospirales,CAG-272,Avispirillum,,
MAG_1104,,,,,,,,
MAG_1105,,,,,,,,
MAG_1106,,,,,,,,
MAG_1107,,,,,,,,
MAG_1108,,,,,,,,
MAG_1109,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasoniB,
MAG_111,,,,,,,,
MAG_1110,,,,,,,,
MAG_1111,,,,,,,,
MAG_1112,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Parasutterella,Parasutterella sp900552195,
MAG_1113,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,SIG483,,
MAG_1114,,,,,,,,
MAG_1115,,,,,,,,
MAG_1116,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,RGIG6375,,
MAG_1117,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1118,,,,,,,,
MAG_1119,,,,,,,,
MAG_112,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,Choladousia,,
MAG_1120,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1081,,
MAG_1121,,,,,,,,
MAG_1122,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,RGIG1476,RGIG1476 sp017413255,
MAG_1123,Bacteria,FirmicuteA,Clostridia,Oscillospirales,CAG-272,UBA1740,,
MAG_1124,,,,,,,,
MAG_1125,,,,,,,,
MAG_1126,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1127,,,,,,,,
MAG_1128,,,,,,,,
MAG_1129,,,,,,,,
MAG_113,Bacteria,FirmicuteA,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1130,,,,,,,,
MAG_1131,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Ruminococcaceae,Bittarella,,
MAG_1132,,,,,,,,
MAG_1133,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,
MAG_1134,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus sp015066925,
MAG_1135,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Ruminococcaceae,RGIG3102,,
MAG_1136,Bacteria,FirmicuteA,Clostridia,Christensenellales,Borkfalkiaceae,Scatosoma,,
MAG_1137,Bacteria,FirmicuteA,Clostridia,Oscillospirales,JAAYXM01,RGIG7332,,
MAG_1138,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1139,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,RUG369 sp017435375,
MAG_114,,,,,,,,
MAG_1140,,,,,,,,
MAG_1141,,,,,,,,
MAG_1142,,,,,,,,
MAG_1143,,,,,,,,
MAG_1144,,,,,,,,
MAG_1145,,,,,,,,
MAG_1146,,,,,,,,
MAG_1147,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,RUG369 sp017937485,
MAG_1148,,,,,,,,
MAG_1149,,,,,,,,
MAG_115,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1150,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1151,,,,,,,,
MAG_1152,Bacteria,FirmicuteA,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1153,,,,,,,,
MAG_1154,,,,,,,,
MAG_1155,,,,,,,,
MAG_1156,,,,,,,,
MAG_1157,,,,,,,,
MAG_1158,,,,,,,,
MAG_1159,,,,,,,,
MAG_116,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,Clostridium_A,,
MAG_1160,Bacteria,FirmicuteA,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1161,,,,,,,,
MAG_1162,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,,
MAG_1163,Bacteria,FirmicuteA,Clostridia,Christensenellales,CAG-138,UBA1685,UBA1685 sp017435905,
MAG_1164,Bacteria,FirmicuteA,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1165,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,,
MAG_1166,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Mailhella,,
MAG_1167,,,,,,,,
MAG_1168,,,,,,,,
MAG_1169,,,,,,,,
MAG_117,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1081,,
MAG_1170,Bacteria,FirmicuteA,Clostridia,Christensenellales,CAG-138,UBA1685,UBA1685 sp017435905,
MAG_1171,,,,,,,,
MAG_1172,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,UBA738,,
MAG_1173,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,,
MAG_1174,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,RUG11977,,
MAG_1175,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1176,,,,,,,,
MAG_1177,Bacteria,FirmicuteC,Negativicutes,Veillonellales,Dialisteraceae,Dialister,Dialister sp000434475,
MAG_1178,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,,
MAG_1179,,,,,,,,
MAG_118,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,,
MAG_1180,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1181,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS1484,,
MAG_1182,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1668,,
MAG_1183,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1668,UMGS1668 sp017847875,
MAG_1184,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1185,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,HGM04593,,
MAG_1186,Bacteria,FirmicuteA,Clostridia,Christensenellales,UBA1242,HGM11367,,
MAG_1187,,,,,,,,
MAG_1188,,,,,,,,
MAG_1189,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS1071,,
MAG_119,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,RGIG4284,,
MAG_1190,,,,,,,,
MAG_1191,,,,,,,,
MAG_1192,,,,,,,,
MAG_1193,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,,
MAG_1194,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1195,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1196,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum sp003150235,
MAG_1197,,,,,,,,
MAG_1198,,,,,,,,
MAG_1199,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp015060075,
MAG_12,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter_A,,
MAG_120,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Evtepia,,
MAG_1200,Bacteria,FirmicuteA,Clostridia,Christensenellales,UBA1750,SIG373,SIG373 sp015056005,
MAG_1201,,,,,,,,
MAG_1202,Bacteria,FirmicuteA,Clostridia,Christensenellales,UBA1242,UBA9845,,
MAG_1203,,,,,,,,
MAG_1204,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Tidjanibacter,Tidjanibacter sp017521965,
MAG_1205,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp017623115,
MAG_1206,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1207,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp017938985,
MAG_1208,,,,,,,,
MAG_1209,,,,,,,,
MAG_121,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,RGIG7067,,
MAG_1210,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,HGM04593,HGM04593 sp017407905,
MAG_1211,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Tidjanibacter,Tidjanibacter sp017935385,
MAG_1212,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Tidjanibacter,Tidjanibacter sp017935385,
MAG_1213,,,,,,,,
MAG_1215,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,,,
MAG_1216,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,,
MAG_1217,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1218,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp015061985,
MAG_1219,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp015061985,
MAG_122,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1220,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp017481925,
MAG_1221,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,HGM04593,HGM04593 sp017407905,
MAG_1222,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp015059845,
MAG_1223,,,,,,,,
MAG_1224,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Butyricicoccaceae,JAAZBA01,,
MAG_1225,,,,,,,,
MAG_1226,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488,,
MAG_1227,Bacteria,FirmicuteA,Clostridia,TANB77,CAG-508,CAG-269,,
MAG_1228,,,,,,,,
MAG_1229,,,,,,,,
MAG_123,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp017398355,
MAG_1230,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,,
MAG_1231,,,,,,,,
MAG_1232,,,,,,,,
MAG_1233,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp017626555,
MAG_1234,,,,,,,,
MAG_1235,,,,,,,,
MAG_1236,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Breznakia,,
MAG_1237,,,,,,,,
MAG_1238,,,,,,,,
MAG_1239,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
MAG_124,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,,,
MAG_1240,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
MAG_1241,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1668,UMGS1668 sp018110905,
MAG_1242,,,,,,,,
MAG_1243,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Mailhella,Mailhella sp017408905,
MAG_1244,Bacteria,FirmicuteA,Clostridia,Christensenellales,UBA1242,UBA5489,,
MAG_1245,,,,,,,,
MAG_1246,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83,,
MAG_1247,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp015062045,
MAG_1248,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp015062045,
MAG_1249,,,,,,,,
MAG_125,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,Faecalimonas,,
MAG_1250,,,,,,,,
MAG_1251,,,,,,,,
MAG_1252,,,,,,,,
MAG_1253,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,
MAG_1254,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,
MAG_1255,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1256,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1257,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1258,,,,,,,,
MAG_1259,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,,,
MAG_126,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1260,,,,,,,,
MAG_1261,,,,,,,,
MAG_1262,,,,,,,,
MAG_1263,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola_A,Phocaeicola_A sp017516265,
MAG_1264,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,UBA3637,RGIG4140,RGIG4140 sp015062385,
MAG_1265,Bacteria,FirmicuteA,Clostridia,UBA1381,UBA1381,Ornithomonoglobus,,
MAG_1266,,,,,,,,
MAG_1267,,,,,,,,
MAG_1268,Bacteria,FirmicuteB,Peptococcia,Peptococcales,Peptococcaceae,UBA7185,UBA7185 sp017399005,
MAG_1269,Bacteria,FirmicuteB,Peptococcia,Peptococcales,Peptococcaceae,UBA7185,,
MAG_127,,,,,,,,
MAG_1270,Bacteria,FirmicuteB,Peptococcia,Peptococcales,Peptococcaceae,UBA7185,,
MAG_1271,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,SIG77,,
MAG_1272,Bacteria,FirmicuteA,Clostridia,Christensenellales,UBA1242,UBA5489,,
MAG_1273,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,SFDP01,,
MAG_1274,,,,,,,,
MAG_1275,Bacteria,FirmicuteA,Clostridia,Oscillospirales,CAG-382,UMGS882,,
MAG_1276,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola_A,Phocaeicola_A sp017416805,
MAG_1277,,,,,,,,
MAG_1278,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,SIG77,,
MAG_1279,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,SIG77,,
MAG_128,,,,,,,,
MAG_1280,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,SIG77,,
MAG_1281,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,,
MAG_1282,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,,
MAG_1283,,,,,,,,
MAG_1284,,,,,,,,
MAG_1285,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Butyricicoccaceae,SIG502,SIG502 sp015067675,
MAG_1286,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Butyricicoccaceae,SIG502,SIG502 sp015067675,
MAG_1287,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Butyricicoccaceae,SIG502,SIG502 sp015067675,
MAG_1288,Bacteria,FirmicuteA,Clostridia,Oscillospirales,CAG-272,CAG-448,,
MAG_1289,Bacteria,FirmicuteA,Clostridia,Oscillospirales,CAG-272,SIG701,,
MAG_129,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,ZJ141,,
MAG_1290,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,,
MAG_1291,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,,
MAG_1292,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,,
MAG_1293,,,,,,,,
MAG_1294,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,,
MAG_1295,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1296,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp905215665,
MAG_1297,,,,,,,,
MAG_1298,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,,
MAG_1299,Bacteria,FirmicuteA,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,,
MAG_13,Bacteria,FirmicuteA,Clostridia,Christensenellales,CAG-74,Ventricola,,
MAG_130,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Butyricicoccaceae,UBA4644,,
MAG_1300,,,,,,,,
MAG_1301,,,,,,,,
MAG_1302,,,,,,,,
MAG_1303,,,,,,,,
MAG_1304,,,,,,,,
MAG_1305,,,,,,,,
MAG_1306,,,,,,,,
MAG_1307,,,,,,,,
MAG_1308,Bacteria,FirmicuteA,Clostridia,Christensenellales,Borkfalkiaceae,UBA4636,,
MAG_1309,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_131,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,,
MAG_1310,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1311,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp015060705,
MAG_1312,,,,,,,,
MAG_1313,,,,,,,,
MAG_1314,Bacteria,FirmicuteB,Dehalobacteriia,UBA7702,UBA7702,UBA7702,,
MAG_1315,Bacteria,FirmicuteB,Dehalobacteriia,UBA7702,UBA7702,UBA7702,,
MAG_1316,,,,,,,,
MAG_1317,,,,,,,,
MAG_1318,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,
MAG_1319,,,,,,,,
MAG_132,,,,,,,,
MAG_1320,,,,,,,,
MAG_1321,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1322,,,,,,,,
MAG_1323,,,,,,,,
MAG_1324,,,,,,,,
MAG_1325,Bacteria,FirmicuteA,Clostridia,RGIG6154,RGIG6154,RGIG2094,,
MAG_1326,Bacteria,FirmicuteA,Clostridia,Christensenellales,UBA1242,Caccovivens,,
MAG_1327,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1328,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1329,,,,,,,,
MAG_133,Bacteria,FirmicuteA,Clostridia,Christensenellales,CAG-74,Limiplasma,,
MAG_1330,,,,,,,,
MAG_1331,,,,,,,,
MAG_1332,,,,,,,,
MAG_1333,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02,F23-B02 sp900760205,
MAG_1334,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02,F23-B02 sp900760205,
MAG_1335,,,,,,,,
MAG_1336,,,,,,,,
MAG_1337,,,,,,,,
MAG_1338,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp017466635,
MAG_1339,,,,,,,,
MAG_134,Bacteria,FirmicuteA,Clostridia,Christensenellales,CAG-74,RGIG2066,,
MAG_1340,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp002493165,
MAG_1341,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp002493165,
MAG_1342,,,,,,,,
MAG_1343,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp017416735,
MAG_1344,,,,,,,,
MAG_1345,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp017416735,
