Contig index,The number of restriction sites,Contig length,Contig coverage
contig_10736,15717,1342247,27
contig_10740,542,60135,119
contig_10741,406,36663,307
contig_10742,736,91514,3
contig_10743,377,43317,12670
contig_10745,4760,591200,3
contig_10756,169,16356,158
contig_10757,276,30232,5
contig_1076,300,21879,167
contig_10770,1360,143840,8
contig_10771,52,5715,199
contig_10786,2464,393529,1386
contig_10787,5220,327538,165
contig_10797,213,46461,118
contig_10799,570,89075,5332
contig_10801,2201,450308,1376
contig_10807,3220,334584,71
contig_10822,554,59907,48
contig_10826,3143,236993,1642
contig_10828,2340,333145,706
contig_10833,7523,745655,720
contig_10834,7923,780385,918
contig_10839,13996,1422465,833
contig_10840,14309,1435835,530
contig_10842,11474,1178707,1089
contig_10843,16899,1764502,640
contig_10844,8761,902315,138
contig_10846,2864,289510,15
contig_10855,438,31827,112
contig_10857,443,53251,82
contig_10864,686,142322,192
contig_10867,255,29150,113
contig_1087,752,54356,145
contig_10870,598,56287,11
contig_10871,366,33526,351
contig_10873,1251,161305,322
contig_10875,743,68102,3780
contig_10876,8338,807289,13962
contig_10879,35013,2931648,100
contig_10881,3075,150601,75
contig_10882,1249,85351,53
contig_10890,1532,187421,115
contig_10895,306,26793,272
contig_109,3152,353492,195
contig_10908,607,77675,34
contig_10909,196,22097,60
contig_10912,471,64210,125
contig_10913,1491,148910,1105
contig_10914,2903,288196,8
contig_10915,101,15388,558
contig_10919,11291,1226950,2232
contig_10922,1148,147519,1
contig_10923,111,14731,33
contig_10924,821,90983,6
contig_10925,322,40844,64
contig_10927,338,41927,101
contig_10929,355,45878,99
contig_10931,471,67109,111
contig_10932,302,53925,101
contig_10933,1425,217357,174
contig_10945,804,104109,42
contig_10949,348,31141,1067
contig_10953,266,42354,2519
contig_10966,6669,818111,20
contig_10969,191,22355,25020
contig_1097,27575,3608307,68
contig_10972,285,58960,450
contig_10975,4817,496594,298
contig_1098,10613,1373622,997
contig_11004,184,57085,270
contig_11007,504,159208,14
contig_11008,1059,49637,2
contig_1101,404,49025,82
contig_11011,655,65791,352
contig_11016,311,48744,1031
contig_11022,2689,240302,129
contig_11028,5137,384244,171
contig_11034,752,54415,2933
contig_11036,663,84371,167
contig_11039,1088,127187,32
contig_11041,518,60601,1121
contig_1105,11823,1187228,6888
contig_11050,4558,614855,142
contig_11052,432,60823,68
contig_11055,411,51071,94
contig_11059,709,68577,283
contig_11067,2120,316332,2817
contig_11070,3602,441906,348
contig_11074,996,120107,65
contig_11076,5869,394751,120
contig_1108,3408,248886,29293
contig_11080,13336,2419043,438
contig_11093,818,136072,75
contig_11103,334,32806,14
contig_11113,548,31203,555
contig_11115,3876,397912,5294
contig_11117,14620,1668456,30
contig_11120,228,31552,293
contig_11126,4612,345315,555
contig_11133,1212,174295,262
contig_11134,1063,109876,145
contig_11137,780,78826,1070
contig_11139,1810,291627,1211
contig_11144,1920,347287,3644
contig_11150,7093,801945,210
contig_11159,277,48662,18
contig_11164,655,67011,343
contig_11176,1253,186765,436
contig_11177,1134,85235,14
contig_11185,582,97578,104
contig_11187,155,31859,1
contig_11189,23,2478,1121
contig_11190,1597,185193,333
contig_11191,939,104236,452
contig_11192,752,137788,459
contig_11194,15726,1198217,32
contig_11199,531,53750,241
contig_11200,5149,350167,74
contig_11204,1008,121514,62
contig_11206,840,70629,124
contig_11211,3122,503739,905
contig_11212,8373,1398394,13
contig_11214,675,68445,270
contig_11216,545,85812,54
contig_1122,959,101597,20
contig_11220,159,31097,592
contig_11221,1735,252026,16
contig_11223,87,11340,1020
contig_11224,1642,342480,37
contig_11231,1026,98176,154
contig_11245,777,99596,1254
contig_11248,1208,211207,347
contig_11255,2521,239238,15286
contig_11258,10605,1106901,159
contig_11264,2015,124211,6
contig_11267,385,22352,150
contig_11268,2702,147188,1076
contig_11271,1825,234476,77
contig_11273,684,94551,268
contig_11277,1590,107373,129
contig_11280,3114,402594,306
contig_11281,4734,652573,408
contig_11285,1606,194497,62
contig_11287,609,82212,599
contig_11288,554,65896,939
contig_11289,975,131798,483
contig_11295,3899,666839,11489
contig_11298,3986,1175496,5734
contig_11310,3996,584007,783
contig_11317,165,23422,503
contig_11320,1355,227792,41271
contig_11323,822,102411,110
contig_11324,231,25516,24848
contig_11327,1755,192186,5042
contig_11334,2494,583834,92
contig_11348,555,69907,89
contig_11354,544,87755,305
contig_11370,2514,283773,459
contig_11376,390,68166,11918
contig_11384,13196,2214976,321
contig_11395,2875,308976,855
contig_11406,1551,132729,840
contig_11411,646,148865,157
contig_11412,1057,113998,17
contig_11428,347,32683,594
contig_11433,99,15258,159
contig_11435,108,16830,5456
contig_11441,3709,599080,984
contig_11443,4418,442954,54
contig_11444,216,44035,1076
contig_11452,809,62313,60
contig_11454,317,48292,1344
contig_11459,1792,186483,61
contig_11464,322,46246,7
contig_11466,96,16581,50
contig_11477,529,62644,40
contig_11478,533,29434,30
contig_11479,299,16404,111
contig_11480,895,63099,34
contig_11481,454,35294,44
contig_11482,498,45849,10814
contig_11483,12749,1636310,8
contig_11484,182,19744,139538
contig_11487,20368,1285112,6120
contig_11491,7569,1293471,6435
contig_11496,11429,1359779,3636
contig_11498,2601,401028,152
contig_11503,233,27893,69
contig_11505,2094,241508,20
contig_11513,425,54548,156
contig_11514,4058,486033,2126
contig_11522,2104,440727,112
contig_11524,788,112772,757
contig_11525,814,84255,195
contig_11526,801,75811,28
contig_11535,588,61878,57
contig_11536,1220,108275,64
contig_11542,246,37048,23
contig_11543,581,61213,7569
contig_11544,16517,1742754,1678
contig_11555,1808,283929,41
contig_11561,10,1533,22990
contig_11563,8774,1196057,56
contig_11564,402,47649,134
contig_11566,486,54368,7
contig_11572,357,33804,19
contig_11575,177,18466,303
contig_11579,5114,495524,2286
contig_11614,624,91184,1594
contig_11615,127,16900,1597
contig_11619,50,20853,116
contig_11620,834,92124,2166
contig_11621,2938,521152,426
contig_11629,237,40132,145
contig_11632,227,62067,115
contig_11638,736,90847,31629
contig_11640,17048,2492266,43
contig_11650,304,42369,149
contig_11666,697,80703,63
contig_11674,482,48480,3262
contig_11676,8455,1498891,7
contig_11684,113,13465,212
contig_11693,1192,118277,1053
contig_11696,507,110575,1
contig_11706,137,8111,129
contig_11709,498,31654,11
contig_11716,336,18120,14
contig_11717,346,19911,2952
contig_11718,22537,1305553,20
contig_11719,479,27914,43
contig_1172,1442,182797,233
contig_11721,473,34707,1
contig_11723,150,10072,35
contig_11728,134,9249,47
contig_1173,1208,155410,699
contig_11730,4413,449363,197
contig_11733,585,52374,1
contig_11739,83,15119,3
contig_11742,101,19145,1
contig_11767,144,16022,14
contig_11771,146,19348,464
contig_11773,3263,420912,2987
contig_11777,1411,79910,425
contig_11778,828,48128,31
contig_11779,316,16652,31
contig_11780,331,17230,25
contig_11784,613,31941,348
contig_11786,1853,197775,10
contig_11789,171,21011,100
contig_11792,448,53950,243
contig_11796,1065,117550,545
contig_11805,2770,379229,4
contig_11808,265,50743,594
contig_11809,2374,402881,50
contig_11811,272,42365,83
contig_11816,717,83491,376
contig_11824,2467,328076,64
contig_11825,482,60202,9
contig_11826,316,36648,48
contig_11827,343,37019,55
contig_11828,735,142298,83
contig_11835,1381,187706,481
contig_11840,4421,676658,34
contig_11841,1960,237862,24
contig_11845,917,62463,1448
contig_11848,2925,380086,107
contig_11849,358,50084,51
contig_11850,236,32009,85
contig_11852,5166,332108,275
contig_11862,2343,236410,235
contig_11863,2463,280620,230
contig_11864,1005,138039,1694
contig_11871,1712,218586,4
contig_11873,522,41025,107
contig_11881,466,39421,1773
contig_11890,2572,298899,905
contig_11893,995,137361,14
contig_11894,330,49765,64
contig_11899,421,55180,36
contig_11901,494,52215,107
contig_11904,493,51186,81
contig_11905,389,42506,58
contig_11909,267,34823,24
contig_11912,339,41042,394
contig_11914,1461,191882,101
contig_11917,174,36662,56
contig_11919,143,21073,73
contig_11920,95,8496,645
contig_11921,476,45622,87
contig_11930,2097,195479,528
contig_11937,270,27666,58
contig_11942,826,106257,29
contig_11958,392,33790,2391
contig_1196,2058,208848,86
contig_11962,498,50142,543
contig_11965,1750,208906,5
contig_11966,82,10404,794
contig_1197,1677,172762,5
contig_11979,100,12188,7101
contig_11980,7036,962523,12896
contig_11981,21254,2258305,255
contig_11982,859,89091,2003
contig_11984,8348,783405,94
contig_11985,421,43415,73
contig_11989,758,79512,125
contig_11990,381,57971,25211
contig_11994,21173,2063914,663
contig_12002,1541,207322,807
contig_12004,435,40553,29210
contig_1203,7781,814081,604
contig_12030,6674,757571,43
contig_12039,1077,90637,62
contig_12040,413,39670,678
contig_12045,1188,143576,31
contig_12046,160,23813,1016
contig_12047,1565,221660,30
contig_12048,210,24263,87995
contig_12051,56631,5537746,85080
contig_1206,20984,2472988,4961
contig_12062,2310,369110,449
contig_12063,403,55915,98
contig_12065,133,21186,324
contig_12067,384,75037,280
contig_12070,380,53587,679
contig_12075,1352,213238,616
contig_12078,786,118902,61
contig_12079,170,25166,178
contig_12082,51,8706,5648
contig_12084,3200,524666,59
contig_12087,110,14945,9504
contig_12088,3939,636612,274
contig_12089,618,113172,162
contig_12090,309,52705,245
contig_12092,716,108434,4061
contig_12101,42,13659,214
contig_12105,5939,608871,135
contig_12106,590,75077,42
contig_12108,316,36039,142
contig_12119,1527,146867,104
contig_1212,820,53456,1433
contig_12122,45351,2323029,84
contig_12132,1710,87779,173
contig_12135,1089,61235,3549
contig_12147,2171,212989,71
contig_12152,606,68801,11767
contig_12153,19167,2408729,1691
contig_12154,6497,603487,14
contig_12158,531,59071,816
contig_12159,3429,420031,8
contig_1216,291,19688,726
contig_12160,1214,217003,206
contig_12161,1664,207811,7
contig_12164,253,32269,82
contig_12165,549,69800,342
contig_12171,4313,876899,770
contig_12172,2330,426291,76
contig_12178,526,93225,17
contig_1218,566,71813,1431
contig_12181,1848,230432,33840
contig_12182,12622,1566423,213
contig_12184,671,62484,18870
contig_1220,16175,2262923,18
contig_12200,1177,140002,136
contig_12206,1099,164644,373
contig_12208,743,84837,82
contig_1221,222,37525,37
contig_12216,557,50181,146
contig_1222,367,57575,130
contig_12232,1186,128662,143
contig_12246,825,106704,380
contig_12248,1648,218256,264
contig_12256,8574,1023285,322
contig_12258,776,133434,367
contig_12266,2780,371738,114
contig_12273,537,81308,113
contig_12274,907,83728,8215
contig_12277,22075,2161478,125
contig_12278,294,23314,27
contig_12284,494,49686,10342
contig_12292,256,56333,113
contig_1230,1084,189716,61
contig_12308,47,12227,44
contig_1233,181,19940,54
contig_12336,1994,105845,201
contig_12337,4098,230685,3089
contig_1234,6342,1151809,4170
contig_12347,3367,449016,4550
contig_12363,2707,380033,154
contig_12369,876,88162,222
contig_12370,1005,118480,119
contig_12372,447,81945,3
contig_12393,102,19667,19
contig_12397,430,74339,785
contig_12401,1210,105237,789
contig_12402,1143,99816,1174
contig_12404,2609,148274,149
contig_12411,286,89357,1456
contig_12413,3085,500032,21
contig_12414,163,21782,56
contig_12417,109,20979,10796
contig_12419,5024,474825,27
contig_12421,101,9683,70
contig_12442,1151,151125,85
contig_12469,3393,189906,40
contig_12470,4067,220463,354
contig_12471,125,9833,537
contig_12478,833,120613,231
contig_12479,888,98784,764
contig_12481,1867,275022,10860
contig_12486,5060,360090,2494
contig_12488,26817,2360072,10
contig_12494,223,19797,5
contig_12496,728,67778,2092
contig_12497,2921,345615,1215
contig_12511,7506,1201391,491
contig_12514,2156,221837,194
contig_12518,496,72147,1524
contig_12543,9459,918912,2113
contig_12548,1954,213837,30
contig_12557,975,96220,15018
contig_12558,6608,843930,10418
contig_12560,1043,131009,26
contig_12562,68,20455,420
contig_12565,3071,430930,74
contig_12571,852,110367,9
contig_12572,88,12121,1153
contig_12574,3046,412539,494
contig_12577,2236,293198,635
contig_12578,3117,458610,330
contig_12579,251,37059,4764
contig_12591,7178,929308,1023
contig_12593,1710,220804,10411
contig_12597,11288,1592492,279
contig_126,7703,697332,1088
contig_12606,4928,650968,44
contig_12608,432,69200,434
contig_12612,935,135357,867
contig_12613,939,135412,505
contig_12622,1266,108738,482
contig_12632,1926,206448,14536
contig_12633,20686,2524999,243
contig_12635,1175,123294,49
contig_12637,381,44941,175
contig_1264,705,51471,162
contig_12644,2055,240605,644
contig_12653,1641,217565,376
contig_12656,2516,289200,184
contig_12660,462,95863,264
contig_12678,422,37548,477
contig_12683,3889,518679,100
contig_12687,787,154940,1806
contig_1269,803,90491,76
contig_12692,148,36119,483
contig_12703,1359,221963,441
contig_12715,3734,425199,229
contig_12716,2567,297120,267
contig_12717,1060,153806,232
contig_12718,1609,179600,756
contig_1273,5,1267,121
contig_12735,404,48267,105
contig_12764,262,49723,76
contig_12767,320,43080,1624
contig_12768,12700,743210,292
contig_12770,1150,145142,70
contig_12773,487,70255,2275
contig_12776,756,87762,1160
contig_12783,18454,1019954,105
contig_12790,1183,123689,2
contig_12792,456,32126,4
contig_12798,1455,79308,4
contig_12799,459,24356,590
contig_12801,1374,280146,11
contig_12803,117,13698,575
contig_12804,588,39254,2245
contig_12805,1547,184533,7
contig_12826,262,22509,1940
contig_12841,6561,598461,86
contig_12844,239,20189,163
contig_12845,191,21972,51
contig_12848,1746,194688,44
contig_12849,662,69421,160
contig_12851,975,96410,316
contig_12854,2162,231176,916
contig_12861,5473,671430,776
contig_12862,7241,757379,3552
contig_12864,20679,2315184,128
contig_12865,644,69905,1082
contig_12866,1269,175001,16
contig_12869,290,31993,45
contig_12873,172,16824,55
contig_12874,301,47917,265
contig_12877,3013,330373,148
contig_12878,1247,137265,24
contig_12882,831,123587,56
contig_12886,3328,383920,1633
contig_12887,9494,1043919,110
contig_12888,1534,146257,640
contig_1289,1878,336826,894
contig_12894,4827,562334,169
contig_12895,302,40892,145
contig_12898,848,120628,734
contig_12899,1694,229442,206
contig_12900,1761,240636,90
contig_12903,989,51735,1044
contig_12908,1846,128453,185
contig_12910,689,60061,126
contig_12912,298,90815,114
contig_12918,1149,126848,438
contig_12922,2421,280148,134
contig_12925,818,99297,1130
contig_12926,957,103275,271
contig_12927,4015,485115,16660
contig_12929,3843,499493,1
contig_12934,19,1940,964
contig_12936,453,54304,982
contig_12937,1932,243515,111
contig_12939,846,108404,362
contig_12942,1025,130961,585
contig_12945,520,65610,160
contig_12948,1387,156294,12
contig_1295,11,2039,1100
contig_12950,942,76908,446
contig_12962,2564,280612,179
contig_12968,582,89965,165
contig_12981,722,114847,34
contig_12986,535,70817,141
contig_13000,1951,181759,4
contig_13001,439,47212,21
contig_13002,205,16054,247
contig_13005,436,32992,432
contig_13006,2087,165203,403
contig_13007,1863,154968,53
contig_13013,267,31540,3183
contig_13017,10218,1076375,350
contig_1303,753,74977,21871
contig_13033,5825,757773,44
contig_13036,232,21636,12
contig_13037,100,12690,91
contig_13038,509,55727,21
contig_13042,185,38172,8
contig_13043,49,7368,26
contig_13046,150,40416,2334
contig_13047,3084,521173,188
contig_13052,1916,212992,51
contig_13056,336,41571,49171
contig_1306,24666,2906427,50
contig_13060,420,53671,2
contig_1307,238,26006,66
contig_13070,1149,116639,158
contig_13076,1331,118432,40
contig_13078,304,44957,24
contig_13079,539,88519,638
contig_13083,586,93521,376
contig_13085,5414,483405,266
contig_13088,1016,124562,149
contig_1309,933,112868,254
contig_13090,1686,141600,599
contig_13096,1299,185713,222
contig_13100,518,86850,30519
contig_13103,13603,1710977,48
contig_13104,401,34920,234
contig_13111,1062,239532,104
contig_13119,423,62871,897
contig_13122,486,75436,90
contig_13125,607,53114,2779
contig_13129,3467,391698,401
contig_13131,274,34407,178
contig_13134,705,78914,169
contig_13141,1061,103239,45
contig_13142,1277,173546,25
contig_13145,237,42800,179
contig_13155,488,54609,48
contig_13156,317,43667,45
contig_13161,571,54402,14
contig_13163,176,17879,3051
contig_13180,1994,238131,248
contig_13181,634,145036,661
contig_13188,4982,489190,4
contig_13189,14,1187,323
contig_13209,2332,129259,235
contig_13215,3563,557297,170
contig_13221,355,107973,1597
contig_13231,1115,261462,65
contig_13252,981,95515,333
contig_13255,1430,149261,23
contig_13259,254,28220,36
contig_13262,264,27550,584
contig_13270,1824,203165,250
contig_13284,1066,111400,12
contig_13286,134,16813,6
contig_13289,249,25903,200
contig_1332,127,12923,2541
contig_13324,479,55811,432
contig_13332,3171,306964,96
contig_13333,524,64044,1164
contig_13335,2712,293142,263
contig_13338,819,125221,25
contig_13348,207,33455,102
contig_1335,72,7738,3364
contig_13350,4820,552746,43
contig_13380,1406,79687,10288
contig_1339,226,26056,714
contig_134,2,1214,20
contig_1341,471,48924,52
contig_1342,417,50968,13039
contig_1348,19609,2634835,266
contig_1350,846,94607,333
contig_13517,1248,146634,3703
contig_13522,1693,139806,953
contig_13523,3570,282910,78
contig_13527,393,47439,99
contig_13535,220,30482,56
contig_13536,134,17624,2101
contig_13537,1324,203927,6889
contig_13547,5294,990008,348
contig_13550,1773,336221,148
contig_13552,1142,236071,600
contig_13555,1890,119502,1254
contig_13559,3404,228329,16
contig_13569,132,36480,17
contig_13578,439,105977,41
contig_1358,972,77299,21
contig_13585,80,16072,18124
contig_13598,12991,1549063,113715
contig_136,238,70692,391
contig_13603,4713,502833,460
contig_13608,1613,158435,4
contig_1361,464,22942,446
contig_13612,1500,159380,392
contig_13619,864,125187,162
contig_13628,1148,111109,80
contig_13631,1375,142459,42
contig_13634,803,82613,220
contig_13636,1676,208002,62
contig_13637,495,68034,1267
contig_13638,176,50403,256
contig_13647,2126,276146,715
contig_13657,2568,418396,176
contig_13661,2059,340622,432
contig_13662,2237,363506,5259
contig_13664,1460,152948,4764
contig_13668,357,88425,97
contig_13669,222,50060,2491
contig_13670,13955,1336305,822
contig_13675,364,56773,17
contig_13680,533,54164,1674
contig_13685,6676,1074596,215
contig_13687,2208,203459,8490
contig_1369,3946,766862,96
contig_13693,393,68381,262
contig_13696,4721,525507,32
contig_13699,365,49138,252
contig_1370,2393,498578,458
contig_13706,674,86652,508
contig_1371,4370,620206,1396
contig_13713,5345,581569,1862
contig_1372,14811,2355804,3
contig_13730,11,1510,878
contig_13749,736,112574,26
contig_13758,236,45613,2526
contig_13759,52,6343,16712
contig_1376,7303,1173498,355
contig_13763,2588,276010,47
contig_13768,743,63016,372
contig_13775,1848,194194,126
contig_13779,1078,114622,13
contig_13780,444,59346,269
contig_13785,583,67753,5872
contig_1379,13539,2395588,159
contig_13793,118,18745,60
contig_13794,95,11281,84510
contig_13798,3952,240342,2
contig_13800,70,4915,45
contig_13804,366,40702,12130
contig_13806,12494,1382516,3
contig_13808,37,4694,81
contig_13810,566,51244,1654
contig_13811,411,51509,187
contig_13812,801,72691,63
contig_13816,1112,215428,1021
contig_13818,2193,171515,12024
contig_13825,13499,1545220,641
contig_13833,4528,475198,130
contig_13836,836,62534,20
contig_13838,189,28453,6350
contig_13839,767,96836,16514
contig_13840,1420,172710,22047
contig_13841,418,58615,4014
contig_13844,656,81468,524
contig_13846,864,113324,739
contig_13847,848,111880,2301
contig_13848,270,36567,23426
contig_1385,25425,3252074,1305
contig_13852,491,56460,2292
contig_13853,1145,131052,53
contig_13854,205,26310,4174
contig_13855,1169,142546,147
contig_13857,540,53884,232795
contig_1386,17056,2942043,17
contig_13860,312,37124,2450
contig_13866,660,77889,193
contig_13867,1309,128842,16194
contig_13871,10674,631956,5514
contig_13878,2331,302473,635
contig_13881,1105,97236,1924
contig_1389,1932,353656,41
contig_13895,371,44249,11285
contig_139,14,6024,140
contig_13901,284,67577,8794
contig_1391,13925,1867153,2
contig_13910,248,19900,1
contig_13914,135,12945,1
contig_13915,467,36775,465
contig_1392,766,145404,15
contig_1393,243,37240,568
contig_13934,2622,165849,38
contig_13935,1754,109540,119
contig_1394,334,78915,5
contig_13945,253,15302,170
contig_13963,482,108034,372
contig_13966,2266,269232,249
contig_1397,1180,146413,665
contig_13978,3121,310337,940
contig_13979,1791,169246,431
contig_1398,240,23772,177
contig_13981,898,116819,63
contig_13990,312,49840,55
contig_13991,379,53604,288
contig_13994,3495,263169,2241
contig_14,40,4767,60
contig_1400,171,12106,1174
contig_14004,713,69094,15
contig_14011,1623,204042,5
contig_14020,228,25300,12105
contig_14026,21990,2375289,26
contig_14027,242,34146,15
contig_1403,296,13513,19
contig_14033,290,34631,11322
contig_1404,12420,702132,1925
contig_14040,1906,185830,108
contig_14044,285,71967,3254
contig_14052,2997,333688,122
contig_14053,713,81886,24
contig_14056,489,48201,21
contig_14059,425,23572,65
contig_14063,531,53748,14
contig_14065,306,19084,442
contig_14072,3453,291445,45
contig_14078,2661,269120,831
contig_14081,5182,784521,38
contig_14083,750,78197,131
contig_14088,106,34752,217
contig_14092,2058,220421,151
contig_14093,287,36316,153
contig_14095,789,83035,99
contig_14096,631,74139,2040
contig_141,296,57522,137
contig_14102,946,187707,12
contig_14105,37,11426,1237
contig_14109,3308,419154,17
contig_14110,178,19377,22
contig_14112,73,8319,11
contig_14113,164,19506,59
contig_14115,490,63031,89
contig_14118,223,42724,101
contig_14119,128,16443,43
contig_14122,250,28385,307
contig_14125,152,57054,190758
contig_14129,30445,3450510,182
contig_14131,814,84914,8994
contig_14134,12011,1386698,253
contig_1414,915,87465,4841
contig_14147,8784,991821,22583
contig_1416,288,38790,122
contig_14166,1160,113450,84
contig_14177,217,59646,156
contig_14179,364,95445,173
contig_14192,311,36428,118
contig_14196,817,98397,45345
contig_14197,16466,1694319,41
contig_14199,240,65508,75
contig_142,353,78665,10
contig_14200,73,17003,1131
contig_14207,8729,768079,117
contig_14208,1132,167510,145
contig_14219,630,57348,95
contig_14229,4872,311313,42
contig_14247,131,13497,43
contig_14248,277,38202,2
contig_14249,13,1680,198
contig_14251,1135,156701,3
contig_14255,491,44820,609
contig_14258,1001,91908,482
contig_14260,1113,114818,9
contig_14265,264,38063,81
contig_14272,513,60848,1613
contig_14275,1467,419727,16
contig_14277,497,28046,23
contig_14278,843,44910,322
contig_143,4085,267120,18
contig_14300,269,26858,64
contig_14302,327,36367,135
contig_14304,677,109560,22112
contig_14307,22796,2119514,47
contig_14311,130,19870,2319
contig_14313,6629,589477,22
contig_14318,149,21525,29
contig_14320,879,77645,253
contig_14323,2034,242871,2851
contig_1433,148,37825,58
contig_14331,141,18780,3670
contig_14332,4657,548644,21
contig_14347,434,38494,50
contig_14350,7864,725896,65
contig_14351,469,49783,59
contig_14357,552,46746,836
contig_14367,3093,281525,3326
contig_14370,12261,1190823,89
contig_14373,788,44871,28
contig_14378,408,38498,1546
contig_14379,2967,411438,119
contig_14385,774,77179,5198
contig_14389,423,78137,893
contig_1439,900,165842,56
contig_14393,339,36845,250
contig_14397,3211,179239,8
contig_14398,364,22075,311
contig_14410,2577,151602,155
contig_14418,1185,110499,715
contig_14422,1959,300745,5641
contig_14423,1745,175225,58
contig_14432,282,49627,14
contig_14441,33,11014,8
contig_14442,1,1129,117
contig_14446,455,159762,78
contig_1445,876,117712,25
contig_14451,1445,79414,1926
contig_14452,623,41821,126
contig_1446,571,59370,34
contig_14463,338,38600,249
contig_14464,878,144425,10
contig_14466,310,45001,110
contig_1447,640,87103,3597
contig_14472,11005,1107112,60
contig_14476,478,58254,28
contig_14477,787,94397,101
contig_14485,1314,118662,194
contig_14488,5084,437116,590
contig_14489,1663,179344,278
contig_14493,2252,180050,375
contig_14499,144,17274,46
contig_14525,550,53503,5
contig_14530,174,21265,57
contig_14537,686,121492,88
contig_14550,3956,202693,36
